Geneid,Reference_1,Reference_2,Test_1,Test_2
b1041,2.527582197,2.101305207,2.450928123,1.120081375
b1042,4.217052781,4.170194792,4.075554429,4.14282274
b1043,2.705403642,2.001576289,1.908065532,1.960788391
b1044,1.652284725,2.538509678,2.637783154,2.697951925
b1045,5.73558509,5.873088128,5.719581615,5.725532314
b1046,4.515207299,4.53368812,4.53645271,4.657435053
b1047,4.520041528,4.750528946,4.110484941,3.980800327
b1048,8.338075368,8.337232179,8.449680725,8.363746997
b1049,7.319823163,7.410258467,7.213630535,7.193371335
b1050,4.098556883,4.125557766,3.312571486,3.501771905
b1051,9.132837334,9.255685413,9.42105423,9.610845275
b1053,2.888252135,2.158761185,2.767921203,2.81124352
b1054,5.590803096,6.000084587,6.049941854,6.071270726
b1055,8.059455245,8.09257932,7.984081415,7.992681093
b1056,6.849930951,6.848014108,7.351771659,7.229075131
b1057,4.003349771,4.633453546,4.868166392,4.716713887
b1058,1.128069686,2.185142418,2.41537946,1.33238084
b1059,7.505998684,7.534500763,7.614615391,7.521882301
b1060,6.744259768,6.464254974,7.398952505,7.587947893
b1061,7.315997149,7.023742294,8.842254862,8.852352094
b1062,9.434768173,9.448215887,9.826764004,9.776068292
b1063,6.572406423,6.391037474,6.413634043,6.588007179
b1064,8.867865116,8.750184452,8.898289553,8.960011517
b1065,2.796173639,3.042764707,2.577968697,2.75582509
b1066,6.760903438,7.023684485,7.430561185,7.397387057
b1067,6.259110148,6.624284401,6.738672545,6.80303854
b1068,5.195464651,5.281552337,5.455619866,5.564805991
b1069,5.077278627,5.176812876,4.870417926,4.872381106
b1070,4.623721241,4.33581216,4.37756432,4.185622925
b1071,4.424304107,4.420716313,4.735467891,4.841371255
b1072,3.338967921,3.035668336,3.443292163,3.286457224
b1073,4.124095326,4.378039688,3.723972887,3.391879105
b1074,3.33360769,3.804144022,3.562558553,2.457511629
b1075,3.804334782,4.217897849,3.564410636,3.241528805
b1076,4.395770445,4.679104955,3.751633703,3.888551518
b1077,3.510120633,4.019575503,3.117720004,2.673532959
b1078,4.259147178,4.189764777,4.173305019,3.474484922
b1079,2.470975635,3.149254891,1.857217734,1.966910341
b1080,2.12090079,2.284644277,2.447057899,2.007855653
b1081,2.294069084,2.316929903,2.655033135,2.177047764
b1082,2.580822154,2.999697827,2.77067811,2.556510192
b1083,3.908730007,3.896777929,4.133405321,4.269584766
b1084,8.327748957,8.467099663,8.377152031,8.299545244
b1085,1.357503112,0.831205541,0,1.22263602
b1086,6.8309308,6.79032146,6.466503898,6.573043078
b1087,7.533911294,7.513386341,7.961750958,8.019715966
b1088,11.31101009,11.45450383,11.23994968,11.18475759
b1089,11.82839263,11.78247434,11.85933623,11.90132983
b1090,7.894532022,7.980226616,7.78535108,7.823086706
b1091,8.331873019,8.397063289,8.430123177,8.463310976
b1092,8.862091759,8.918108848,9.125435404,9.159165499
b1093,10.47775341,10.47168976,10.23605353,10.1889357
b1094,13.08491195,13.08191021,13.10531407,13.21654659
b1095,9.174036014,9.246875342,8.916626408,8.87299492
b1096,4.687460618,4.751557542,4.891057529,5.094514292
b1097,5.537005174,5.207117425,5.365532937,5.371047987
b1098,6.301226484,6.847353275,6.202978933,6.10195809
b1099,5.693087549,5.728295083,5.727805117,5.628105786
b1100,6.842433321,6.83870287,6.691724487,6.719034494
b1101,10.43803643,10.52888406,10.35106221,10.26514005
b1102,4.017127242,4.225131061,8.038955383,8.028196856
b1103,8.665132541,8.400705217,8.393601486,8.422922024
b1104,7.97086959,7.898100493,7.849224107,7.837025857
b1105,8.045850381,8.100605462,8.257173181,8.329099872
b1106,5.718998964,5.681617237,5.578795804,5.725035412
b1107,6.892474402,7.072418543,6.500676374,6.464590981
b1108,7.784750061,7.795034919,6.989395094,7.089779731
b1109,6.401307077,6.562688643,7.115727615,7.19876397
b1110,3.273292034,2.903893978,4.041601504,3.987821333
b1111,5.91071897,5.865253328,6.274960727,6.090160195
b1112,6.886110353,6.999953629,7.087757256,7.195867106
b1113,5.206936306,5.561657266,5.10096451,4.959770586
b1114,6.536205097,6.68880089,6.876767992,6.801020143
b1115,1.596254101,0.551650576,1.331999095,1.318955983
b1116,6.351619237,6.475032482,6.32091532,6.388381045
b1117,6.164489477,6.117014617,6.328619578,6.37020175
b1118,6.050064708,6.114871597,6.467004354,6.498377567
b1119,6.667280209,6.493944284,6.541419529,6.429662869
b1120,6.820807019,6.991499586,6.49393811,6.404528794
b1121,2.446153013,2.060051921,1.275092796,1.725143988
b1122,2.684339381,2.798070442,2.703116099,2.004218127
b1123,8.851678909,8.972071148,9.106627005,9.091601937
b1124,5.953806397,6.178240742,6.018112221,6.053777138
b1125,5.384913982,5.624428899,5.070436351,4.95971458
b1126,7.242376489,7.412632641,7.081867428,7.06825355
b1127,6.207375826,6.196998061,6.304454243,6.422702012
b1128,7.645393628,7.608525466,7.775251015,7.849922908
b1129,6.460728396,6.686941128,6.480060871,6.46115413
b1130,7.840013714,7.835483464,8.065743258,8.082827222
b1131,9.113405915,9.197145486,9.059736264,9.008433086
b1132,7.791557915,8.03139988,7.924601113,7.749735074
b1133,8.1046029,8.127129213,7.94222005,7.966151506
b1134,5.553234978,5.555099887,5.882324429,5.874941351
b1135,6.539541953,6.906145246,6.210400062,6.209277547
b1136,12.33584429,12.37676908,12.41623245,12.35805422
b1137,3.327207328,3.477646008,3.742949225,4.009576938
b1138,3.390294638,3.195308011,3.184478501,3.152918506
b1139,4.443409449,4.581418037,4.893025913,4.846771267
b1140,2.993811772,2.555352506,4.745612621,4.649678205
b1141,2.962708573,2.604929707,4.759522175,5.108598353
b1142,1.652284725,1.380338857,4.059289304,4.209106549
b1143,7.685223569,7.984748931,7.172562738,7.278805052
b1144,3.495639677,3.883652003,5.421763273,5.524486366
b1145,6.32651675,6.353633285,6.583778805,6.661255201
b1146,0.873208736,2.242768729,4.633356915,4.731171824
b1147,1.136460533,0.923313564,4.680565441,4.264703748
b1148,1.310021976,1.982290162,4.628656707,4.815194433
b1149,0,0.630867368,1.820356204,1.708825173
b4692,0,0,0,0
b4693,0,0,0,0
b1150,0,1.242903274,2.117619233,1.972457832
b1151,1.466487845,1.369047766,3.196329374,3.671504604
b1152,0.707746336,1.178365482,2.459831172,2.21685998
b1153,0.362637885,0.513536586,2.107142952,2.380751825
b1154,0.339550444,0.482338635,2.025758845,1.338580237
b1155,1.594099659,1.772544768,2.838175272,2.286277111
b1156,2.442520513,2.676307253,2.891269466,2.489276271
b1157,0.698340865,0.551650576,1.218981781,0.262209433
b1158,0.379867116,1.233868282,0.632836852,0.658599315
b1159,3.768562252,3.944394869,3.851516567,3.94237852
b4519,3.476642542,2.820356781,5.362044313,5.063236475
b1160,1.349334912,1.729387748,1.174769732,1.576312688
b4738,0,0,0,0
b4739,1.325449729,0,1.503537099,0.973977699
b1161,3.949301417,3.269918434,3.095149832,3.158380354
b1162,7.0652317,7.257861108,7.11939672,7.030064764
b1163,4.931601014,4.830179613,4.757774226,4.472122512
b1164,4.515207299,4.718526219,5.472812323,5.726154772
b1165,3.972415604,4.464137508,4.780932302,5.084608834
b1166,4.518204412,4.302694387,4.60122592,4.526551629
b1167,3.282169854,2.812876914,3.488927978,3.796532955
b1168,1.771181469,1.401176185,1.55500074,1.875295449
b4520,1.337278147,1.099007794,1.922490295,2.557603345
b4491,3.012744147,3.20437439,2.666084044,2.487449495
b1171,5.44474832,4.933522189,5.340224494,5.633743206
b1172,4.54166523,4.507734173,5.4038038,5.268233234
b4593,2.275953787,2.754833625,3.599672011,3.593621072
b4594,2.20013716,2.331733112,2.273084789,2.330005226
b4521,0.979634915,0.788331305,1.31067022,1.92609276
b1174,8.21206349,7.871920108,8.726942082,8.77856397
b1175,8.698887307,8.57807109,8.737653706,8.699849369
b1176,8.480646777,8.694403622,8.896797335,8.811444694
b1177,6.318895259,6.387044178,6.25999067,6.487967477
b1178,6.708058649,6.763360306,8.050028552,8.214647285
b1179,7.773414818,7.886192935,7.681934847,7.591005387
b1180,6.640781749,6.942811601,6.766624636,6.915052489
b1181,6.182847272,5.907121127,6.040496587,6.01590111
b1182,1.906752697,2.006020158,2.536737569,2.213545185
b1183,3.28643079,3.690438566,5.306059439,5.255735991
b1184,3.02040731,3.273843575,4.177724855,4.326363388
b1185,6.853003879,6.484663655,6.294626632,6.33304127
b1186,6.608795662,6.51582899,6.862192106,6.761783855
b1187,7.1181315,7.055332652,6.566798214,6.669425218
b1188,6.811767524,6.833715513,7.318995674,7.304615247
b1189,5.416097562,5.507082741,5.765578299,5.709630641
b1190,5.084750411,5.235141482,5.378929927,5.370659713
b4740,3.43749572,3.260378656,3.583185725,3.971829947
b1191,5.01255729,5.14037321,4.952641931,4.960304429
b1192,5.778707573,5.673070364,5.938722078,5.908623101
b1193,6.881609303,6.866132864,6.876639948,6.92478895
b1194,2.789476147,2.245861688,2.06610678,2.344088511
b1195,5.530958924,5.673070364,5.268640784,5.572593658
b1196,3.223415746,2.85572506,2.300619671,2.136791575
b1197,4.836311307,5.269081596,5.742848417,5.781886368
b1198,6.841603425,6.889545756,6.548479285,6.499160448
b1199,6.533630219,6.70220854,6.499401393,6.517752049
b1200,6.965089006,7.097150508,6.851907712,6.821816877
b1201,3.917017439,3.836662216,4.298283775,4.342554021
b1202,2.746851261,3.102177918,3.122210656,3.055642303
b1203,8.193753985,8.237125578,8.397398086,8.33660042
b1204,6.779787188,6.814926411,6.815242854,6.777133779
b1205,6.366180322,5.751985795,6.544893839,6.795723146
b1206,4.343770411,4.684462433,4.637454287,4.596349855
b1207,10.45118146,10.55692099,10.04329604,10.06638445
b1208,8.760426926,8.757651152,8.48284736,8.291406401
b1209,7.589151974,7.580381385,7.36254478,7.407528073
b1210,6.240538615,6.105408685,6.289611495,6.161647421
b1211,6.227687921,6.190911364,6.363850146,6.126883934
b1212,4.800163082,4.727443391,4.722722417,4.736986609
b1213,5.040201514,4.858109794,5.408404801,5.207484955
b1214,7.106834669,6.984983268,6.889749134,6.95903642
b1215,8.389551393,8.430521536,8.642972627,8.592226343
b4419,3.127589016,2.990521456,3.24619327,2.796224179
b4421,1.349334912,1.729387748,0.958416828,0
b4423,0,0,0.958416828,0
b1216,6.431878462,6.528607114,6.527060928,6.56104787
b1217,5.915153852,5.945647623,6.24724673,6.498644788
b1218,5.920513559,6.084081695,6.094305259,6.242937735
b1219,7.718917376,7.836081018,7.568056099,7.54879966
b1220,4.190386139,4.021472911,4.111322085,4.220855418
b1221,7.082833848,7.073622231,7.307523978,7.388434396
b1222,5.09644594,4.807444457,5.681908234,5.511322502
b1223,1.138154474,1.483775144,1.300738454,1.15720447
b1224,2.075520835,2.002226633,2.215908201,1.990265305
b1225,2.230616737,2.292903578,2.623550724,2.311542079
b1226,2.321128216,2.478483081,2.553627862,2.811772992
b1227,2.790315947,3.59299427,3.257569974,3.10055046
b1228,0,0.930707269,0,0
b1229,3.362845518,3.598862931,4.562928167,4.560443762
b1232,8.452158536,8.487093916,8.520135242,8.437124235
b1233,7.252822776,7.162106347,7.376006757,7.32011048
b1234,7.030335593,7.122135253,6.728071927,6.871943743
b1235,6.330331676,6.342781477,6.477361352,6.515063696
b1236,8.656084266,8.587076968,8.31703174,8.392269989
b1237,11.88412228,11.64980106,11.37802136,11.34802474
b1238,5.93839925,6.141821572,6.222604411,6.224562773
b4573,2.981097892,2.943361446,2.281261907,2.918900793
b1241,9.445560153,9.538896724,9.442939985,9.420521191
b1242,3.467494878,3.561618992,3.293220256,3.688449196
b4711,0,0,0,0
b1243,9.742926432,9.857099904,9.135056148,9.089622795
b1244,6.782571105,6.982587159,5.575112727,5.593904882
b1245,6.857315618,6.92174385,5.586927829,5.725911025
b1246,6.734937421,6.78167532,5.69574515,5.834132289
b1247,7.175494745,7.217507921,6.125587105,5.909461444
b1248,6.955405261,7.267724045,7.804488059,7.789374963
b1249,6.443760622,6.381009597,6.921243353,7.009405611
b4595,7.557309665,7.162957833,8.078380907,7.970050921
b1250,4.947795834,4.751082707,5.127400027,5.17992683
b1251,8.905255067,8.703954049,8.805908683,8.7964376
b1252,7.440875934,7.613830112,9.210703096,9.230439323
b1253,6.648197092,6.461601541,5.948610484,5.988734077
b1254,6.978127735,6.94577123,6.951885675,6.984851913
b1255,6.286747166,6.357870796,6.498314532,6.542475835
b1256,3.583547848,3.482433208,1.828047142,2.175515363
b1257,5.114095687,4.653791318,5.567149095,5.71452816
b1258,4.68330282,4.552458996,5.345087363,5.457490199
b1259,5.450331041,4.62186908,6.070625012,6.053289752
b1260,9.081318013,9.195123803,9.508148212,9.409800806
b1261,8.361574126,8.480219713,8.943935752,8.879823897
b1262,7.548464585,7.806940802,8.100686086,8.012378385
b1263,7.795898775,7.918075887,8.417900743,8.278417216
b1264,8.541814473,8.610925415,8.82138421,8.687962679
b1265,7.328657564,7.291184613,7.165994945,7.486923756
b1266,6.212650246,6.441674842,6.70068876,6.521866281
b1267,7.094667467,7.181779631,6.837251885,6.920418334
b1268,3.407486473,3.546616879,3.479498236,3.509320215
b1269,7.382341374,7.464290533,6.692712498,6.639857695
b1270,5.75214203,5.621915506,5.876262215,5.785280319
b1271,5.820327263,6.099165923,6.060941997,6.072058938
b1272,7.199694933,7.216128713,6.938445521,7.082724262
b1273,7.329847871,7.011613772,7.702962608,7.556930061
b1274,8.16699934,8.242278427,8.005132015,8.001469773
b1275,7.044384601,7.025579409,7.36197224,7.300584846
b4522,7.276185756,7.118335634,7.159779633,7.249271068
b4523,8.162875194,7.828413573,7.638574495,7.455848922
b4741,6.278418705,5.123898277,3.986868459,4.31857108
b1276,7.405057576,7.553343614,6.665772996,6.705313167
b1277,7.098686188,7.341994884,6.930674453,7.156054864
b1278,5.245350354,5.031827698,5.288437254,5.555527588
b1279,7.21101322,7.347719744,7.096107832,7.43588842
b1280,6.099836323,6.143432062,6.430186907,6.332486227
b1281,7.717944251,7.705636164,7.399507623,7.405346072
b1282,6.76650771,6.873578939,6.947462292,7.03999611
b1283,7.313044076,7.201490486,7.664380273,7.725483084
b1284,6.533153062,6.64930854,6.661539208,6.718637699
b4596,6.264963276,5.463462559,6.700909685,6.795809032
b1285,5.489963531,5.639931688,5.62097116,5.702951762
b4672,1.374162234,1.757893052,0.978286607,2.020785318
b1286,8.91073554,9.015095274,8.876004904,8.846330266
b1287,6.936994241,6.888963827,7.726968195,7.732615752
b1288,10.51514642,10.66537742,10.05025435,10.02422061
b1289,2.835785197,3.621124581,3.468740346,3.242721062
b1290,5.515592099,5.462064114,5.275792211,5.258095055
b1291,5.917191051,6.044051136,5.785624497,5.755709399
b1292,4.633953823,4.481175021,4.320329509,4.221754561
b1293,4.807237596,4.955796235,4.640202182,4.745028354
b1294,5.534612557,5.707920483,5.395056095,5.368056546
b1295,6.946327537,7.046112959,6.338369884,6.309536731
b1296,5.511882392,5.577080764,3.327657762,3.392108159
b4742,7.137726611,7.25346237,5.048859243,4.786373449
b1297,8.12676916,8.314104594,5.523852104,5.429232442
b1298,7.256263947,7.395719052,5.019008701,5.076348887
b1299,7.091914958,7.265356868,5.413508077,5.590541629
b1300,6.546351669,6.579439646,3.667442034,3.619763577
b1301,5.751006699,5.933966961,2.926004264,3.018281655
b1302,5.281661505,5.474557214,2.940772814,2.409173754
b1303,4.204435301,4.371001525,4.272857936,4.332842152
b1304,6.466993141,6.567416089,7.030412523,6.952687436
b1305,4.290966672,4.231577325,4.643533339,5.11995464
b1306,4.625479715,4.449088293,4.927285016,4.969271417
b1307,3.431584837,2.729704804,3.971126101,4.079813768
b1308,7.129796227,7.216128713,6.661723535,6.699804581
b1309,1.133649044,1.226444788,1.022017616,1.013890099
b1310,0.472887484,0.471836712,0.705087133,0.803226767
b1311,1.331335828,0.888092886,0.65759876,0.570855535
b1312,0.842579572,1.31236074,1.142962174,0.917436366
b1313,1.538619987,1.64971974,1.852747141,1.782185063
b1314,2.20228146,1.822122556,2.079838757,2.262533518
b1315,1.944719245,2.25990716,1.925002581,2.014594895
b1316,1.809907833,1.347049783,1.678407649,1.244016367
b1317,0,1.095507228,0.945628435,1.19997253
b1318,0.897343174,1.34975801,0.960583168,1.409709296
b4524,1.975612218,0,1.478749733,1.932296147
b1319,0,0,0.643540454,0.772999318
b1320,4.787011496,4.477740391,4.721880487,4.79621822
b1321,4.33151995,4.239615449,5.415416251,5.34819398
b1322,4.14456339,4.293184296,5.016345203,5.098386413
b1323,6.526354589,6.553686232,6.535368872,6.651557504
b1324,11.73897728,11.84072255,11.42157297,11.39241956
b1325,5.544993923,5.343917107,5.396599015,5.607456775
b1326,6.319905706,6.244012618,6.35831362,6.37118625
b4525,3.686617906,2.969696973,3.898761373,4.301288516
b4673,3.104170481,3.10084534,1.346746723,2.085214701
b1327,3.279897767,3.42980934,3.718751016,3.575792205
b1328,4.784648439,4.588928789,4.833042984,4.725181674
b1329,5.604273746,5.866343504,5.543189615,5.456329384
b1330,5.00463273,5.011864779,5.498876843,5.440239284
b1331,0.578360124,1.156827519,0,0.144362941
b1332,9.427321605,8.963731893,9.154647864,9.184358992
b1333,7.821388618,7.910456802,8.229084755,8.232234047
b1334,9.733561262,9.838825262,9.513363563,9.520787412
b1335,5.329218401,5.737401469,5.135524904,5.443681305
b1336,1.460325054,1.920104477,1.64830644,1.665790711
b1337,1.510874862,1.253237031,1.793090454,1.720099869
b1338,0.819764352,1.539933549,0.950382445,0.725199867
b1339,3.349891897,3.410117651,3.316847278,3.381245229
b1340,5.326494731,5.502918027,6.106614159,6.107238221
b1341,6.255238571,6.202031637,6.237165998,6.251224304
b1342,6.060695195,6.029182857,6.302868708,6.26125421
b4743,5.265698587,4.894756642,5.951486592,6.485070815
b1343,4.869281803,4.804309614,4.760003634,4.800887048
b1344,6.94866986,6.993143291,6.455096159,6.467243056
b1345,3.209563231,3.085294188,3.867720757,3.901284081
b1346,1.732017137,1.729387748,0,1.314145601
b1347,0,1.131602136,1.555938076,2.020785318
b1348,0,2.277362388,1.360152851,1.6760509
b1349,2.887170076,2.643696192,3.255722101,3.179575689
b1350,1.550032666,1.39765636,2.30902078,2.319492941
b1351,1.144983679,0.930707269,1.684555758,2.036456137
b4526,0.983787371,0,1.478749733,0.701252641
b1352,0,0,2.074470431,1.290644531
b1353,2.768061776,2.486283377,3.051513225,2.919598856
b4527,2.075520835,0,1.852747141,2.355185667
b1355,0,1.512326293,1.706474507,1.370529025
b1356,7.555781483,7.626662025,7.698467011,7.725860186
b1357,1.426892032,1.818197926,2.147219463,1.957174157
b1358,2.707764388,2.789282988,2.128080122,2.769705353
b1359,2.233299554,1.604335822,2.151509274,2.489435724
b1360,1.480469774,1.419066037,2.048356666,2.102821016
b1361,2.370723723,2.856329402,2.728746787,2.749237338
b1362,0,0,1.013376818,1.279226575
b4528,0,0,0,0
b1363,4.357035216,4.023928805,3.944124946,4.06261535
b1365,2.058750776,2.740800201,2.390748435,2.337490753
b1366,1.514771494,2.16150271,1.706474507,2.282448913
b1368,2.967832671,3.008789699,3.091431142,2.897035361
b4570,1.975612218,1.172298324,1.929129842,2.24959565
b1370,5.16047199,5.016133626,5.101453953,5.126458048
b1372,1.738300309,1.788387454,1.669404337,1.82623265
b1373,0,0.52027213,0,0.245883555
b1374,3.288222245,3.63535153,3.763631267,3.953098115
b1375,3.147112044,2.890092616,3.143331179,2.974713082
b4744,2.779449272,4.213492095,4.429704063,3.91486182
b4638,2.917624259,2.561740801,4.085638528,2.867101307
b1376,7.329806842,7.239058303,7.616887288,7.492848069
b1377,1.544240562,1.467004434,1.116193149,0.887101992
b1378,6.485307568,6.645632605,6.344770779,6.269061118
b4529,7.305241314,6.961760859,6.471629566,6.498146336
b1379,5.573980408,5.646069004,5.494044627,5.32072274
b1380,3.875604827,3.821434999,4.452006846,4.637663401
b1381,4.312583386,4.510344078,4.222780983,4.320035997
b1382,4.659228403,4.576515178,4.16809435,4.235620102
b1383,4.863872003,4.534893739,4.550196395,4.84908227
b1384,3.759964514,3.775993052,3.890358049,3.957058644
b1385,4.128863875,4.358177838,4.123823808,4.127870087
b1386,2.375868735,2.066836225,2.430252123,2.133847549
b1387,0.652572266,1.152153389,1.556635872,1.331743028
b1388,1.175256698,0.853452363,2.670608692,2.078082857
b1389,1.454933723,0,1.797360797,1.848583075
b1390,1.083381801,1.419066037,2.184418033,1.839586847
b1391,1.0051108,1.589259208,1.788489939,2.405572726
b1392,1.80633516,1.520178539,1.873059624,2.069687352
b1393,1.56516802,0.983318671,2.064613922,2.333869801
b1394,0.50971853,1.537051431,1.275092796,0.746978179
b1395,1.689012789,1.549249596,2.049155794,1.69980188
b1396,2.05719474,1.984199477,1.42528573,2.183460368
b1397,3.838721688,3.533184768,3.572380185,3.648166877
b1398,3.76506987,3.761583719,3.50942475,3.304302835
b1399,5.629898524,5.879221505,4.790290656,4.924793913
b1400,5.540480681,5.478651337,5.275983082,5.497900603
b4674,0,0,0,0
b4492,4.297724671,4.442944694,4.406762604,4.470292154
b1402,5.397416916,5.506091351,5.529743183,5.60665317
b1403,5.990447451,5.833812986,6.312604205,6.499613963
b1404,0.660362677,0.901843123,0.61403763,0.876711051
b1406,5.411149701,5.430332488,5.015764083,5.172153544
b1407,1.491412267,1.507444364,1.935780131,1.865710747
b1408,0,0.498485183,0.418116168,0.613399168
b1409,0,0,0.422963938,0.308761044
b1410,2.292464598,2.473189824,2.464543005,2.34458269
b1411,2.769405117,2.681727177,2.820912134,3.021281747
b1412,6.683649181,6.650589276,6.594603541,6.451931767
b1413,5.857190625,5.96178448,5.991788669,5.883970246
b1414,6.574975904,6.550576141,6.881041577,6.730108762
b1415,8.090369127,8.296169687,7.952241484,7.961041968
b4493,8.947929221,9.009046084,8.642041528,8.731896894
b1418,8.092856377,8.176258053,7.864912235,7.806917859
b1419,6.670775219,6.447020704,6.246669047,5.951804595
b4428,5.79731259,4.954833011,5.383539032,5.168468044
b1420,6.122309893,5.809533771,5.629537651,5.196811859
b1421,2.723158718,2.592089935,2.649907377,2.911181754
b1422,7.389183214,7.486892896,7.384859498,7.356356284
b1423,3.774800957,3.536987224,3.739192023,3.869660447
b1424,6.280293782,6.223134871,6.475108324,6.477260613
b1426,5.863247105,5.192658698,5.801667798,5.736782622
b1427,5.623396538,5.318556462,5.363847822,5.670956135
b1428,5.118625123,5.114970293,5.043583603,5.21811195
b1429,4.323680457,4.580195117,4.474714448,4.575957163
b1430,6.696652532,6.618628781,6.672504709,6.592450958
b1431,7.434012399,7.390106086,7.292447434,7.240583737
b1432,6.095206677,5.8961714,5.844796774,5.908292993
b1433,3.294814382,3.312177819,3.850582067,3.741769664
b1434,4.94890949,4.487038548,5.240302292,4.882736087
b1435,6.178004507,6.107402719,5.896355727,5.868972544
b1436,3.810121556,3.10084534,2.435536751,2.234722877
b4532,4.827350572,5.003944887,5.624737969,5.625734361
b1438,5.456051959,5.780872954,5.529541091,5.673860462
b1439,4.934795242,5.22657144,5.009134372,4.949340019
b1440,4.175359502,4.765001662,4.674260696,4.979130699
b1441,2.893348827,2.937314476,3.298685487,3.302542014
b1442,3.138937074,2.933165819,2.727487706,2.500416797
b1443,2.054607421,2.347641574,2.156881843,2.580470133
b1444,3.501310167,3.436833817,3.763515633,3.496980926
b4598,7.285292443,6.885586002,7.55266076,7.756076916
b1445,5.776221945,6.099285485,6.069367851,6.237067179
b1446,8.660554973,7.934875329,8.464208916,8.50849072
b1447,5.136628454,5.298321745,5.040764778,4.763586049
b1448,6.437674816,6.365337064,6.727965791,6.928948278
b1449,5.344127886,5.423801015,5.52492513,5.678527855
b1450,4.760535342,4.624067882,5.18918502,5.300462203
b1451,4.621175478,4.930507461,4.914520687,4.931633144
b1452,8.983884755,9.068215122,11.32298022,11.2343453
b1453,3.615494692,3.773199293,2.524467119,2.972697003
b1454,3.74885678,4.294025336,3.667064664,4.081809121
b1455,0.835822408,1.120514048,0,1.00359629
b1456,2.198483592,2.102924326,2.439491522,1.766746632
b1457,1.914180736,2.038087281,1.819978297,2.253129581
b4745,1.484197508,0,2.273084789,1.446953028
b1459,1.82285641,1.754031648,1.453963468,1.214202126
b1460,1.466973588,1.214039597,1.434132789,1.704536757
b1461,6.668680608,6.398681194,6.622197151,6.736867571
b1462,3.416669304,3.289234109,3.755902022,3.859948042
b1463,3.469641025,3.808209461,4.577552281,4.609120195
b1464,6.174867547,6.182315311,5.969057316,5.887159055
b1465,1.788640997,2.106171347,2.289552473,1.995013339
b1466,1.54675304,1.813735934,1.675962332,1.343584419
b1467,2.25918467,2.083288993,2.309131471,2.266093015
b1468,2.315346394,2.381843905,2.199815315,2.315232851
b1469,0.566995059,0.443750277,1.119932744,1.055745706
b1470,0,0,0,0
b1471,0.232279924,0,0.278436732,0.152950194
b1472,0,0.894913508,0,0
b1473,4.424304107,4.548591013,4.808636773,5.008415983
b1474,1.518458987,1.82530155,1.587450466,1.386980086
b1475,1.093162318,0.885843111,1.772767905,1.773487355
b1476,2.112070956,2.27034164,2.724025929,3.00670145
b1477,6.133761685,6.273340579,6.091570112,6.051929331
b1478,6.842566175,6.85536959,7.491375505,7.643309643
b1479,8.181709074,8.256265482,8.019240338,7.890271478
b1480,10.41476689,10.18558658,12.46440444,12.52994517
b1481,4.50279198,4.449088293,5.847760954,5.645475688
b1482,9.499628579,9.497797338,9.956656531,10.07713015
b1483,2.553180633,2.335469726,2.489325621,2.490161554
b1484,2.604404552,2.77154586,2.237370797,2.555782071
b1485,2.875139881,2.589526389,2.556568416,3.007192614
b1486,2.479165263,2.497056436,2.196803188,1.854247441
b1487,3.448430263,3.600142463,3.404447493,3.317746557
b1488,3.308110537,3.444167657,3.336449858,3.269548916
b1489,3.845415444,3.788512857,4.353243131,4.433198955
b1490,5.102788836,4.996622065,5.560129801,5.577250733
b4746,0,4.633453546,3.048921748,3.111885272
b1491,5.701549431,5.806048061,5.765559394,5.7535034
b1492,7.342526737,7.441015067,7.192139106,7.26568447
b1493,8.270835626,8.351514659,8.114863338,8.193191065
b1494,3.82924215,3.867604277,5.773477678,5.76454491
b1495,3.549474859,3.702169035,5.818065046,5.825362075
b1496,2.449443,2.406558459,4.643021776,4.632615191
b4747,1.238280863,0,1.409423343,0.90317387
b1497,1.289055703,1.32878798,1.039542426,1.413433738
b1498,3.12895481,3.049977309,3.34187582,3.161801716
b1499,1.945653267,2.098398136,2.073232367,1.981739537
b1500,0,0,1.346746723,0
b1501,2.683911861,2.814233056,3.218762564,3.247442749
b1502,1.402927226,1.67210367,1.532335633,1.634844178
b1503,0.734139983,0,1.387844309,1.738122564
b1504,0.394883466,1.270871945,2.091243544,2.210448248
b1505,1.013277961,1.335573729,1.906222249,2.090961507
b1506,1.404399584,1.15839445,2.173932935,1.636449426
b1507,4.841645618,4.81881459,4.85159031,4.995668375
b1508,5.095299427,5.15623469,5.815546786,5.605945588
b4696,2.10405621,2.01597763,2.162078728,2.168007745
b1511,3.096949499,3.171113502,3.751582718,3.529649554
b1512,3.874665034,3.586321565,4.176637831,4.033014926
b1513,2.1289662,1.480875805,1.480555354,1.894371442
b1514,1.7811499,1.297714316,1.668041909,2.18158478
b1515,0.742805462,1.00540624,1.284594422,1.263767346
b1516,2.520841402,2.558222308,2.958091919,2.963592596
b1517,2.665300823,3.024666766,3.364931121,3.445827244
b1518,3.886344648,3.964534746,3.972865649,3.868768871
b1519,6.077218755,6.035361683,5.98960272,6.122571206
b1520,5.09815563,5.401755013,5.220801561,5.476203271
b1521,2.117348854,2.25990716,2.580364151,2.552149219
b1522,3.242559734,2.874206959,3.325651123,3.11725844
b1523,5.105830652,4.915519501,5.005616428,5.049172706
b1524,5.650583973,5.876256085,5.406893846,5.371944764
b1525,4.754752583,4.770294365,4.642742966,4.785787368
b1526,4.474369767,4.321898679,4.691007057,4.536503102
b1527,1.630972775,1.69651255,1.971149577,1.723233187
